customer_id,customer_name,province,amount,note
27,"Nguyễn  Thị Yến   ","Hà Nội",1928957,"ưu đãi cuối năm"
28,"vũ quốc CƯỜNG","Khánh Hòa",1340067,"mua nhiều lần"
29,"  PHẠM QUỐC NAM   ","Bình Dương",1952984,"ưu đãi cuối năm"
30," đỗ thanh hải","Hà Nội",202447,"ưu đãi cuối năm"
31,"Bùi  Hoài Cường ","Hồ Chí Minh",9299546,"đại lý cấp 1"
32,"  Phạm Minh Trang","Bình Dương",9335496,"đại lý cấp 1"
33,"   Đỗ Thanh Hải ","Hải Phòng",1298430,"giao hàng nhanh"
34,"vũ ngọc tuấn  ","Hải Phòng",3522322,"đại lý cấp 1"
35,"  Đặng Hoài An","Bình Dương",24800101,"ưu đãi cuối năm"
36,"hoàng quốc sơn","Hà Nội",45844430,"đại lý cấp 1"
37,"  ngô hoài an  ","Cần Thơ",35442729,"đại lý cấp 1"
38," hoàng thị sơn","Hải Phòng",26594901,"khách quen"
39,"   NGÔ MINH HIẾU","Hồ Chí Minh",9274055,"mua nhiều lần"
40,"   hoàng thị vy   ","Cần Thơ",3854810,"khách mới"
41,"   Ngô Văn Mai","Đà Nẵng",40852585,"đại lý cấp 1"
42,"   lê anh trang","Cần Thơ","",""
43,"  Phạm Thanh Vy","Khánh Hòa",28540070,"khách quen"
44,"ĐỖ THU CƯỜNG","Cần Thơ",16244704,"ưu đãi cuối năm"
45,"   đặng anh hiếu","Cần Thơ",5572140,"ưu đãi cuối năm"
46," TRẦN anh hạnh","Khánh Hòa",9377086,"giao hàng nhanh"
47," TRẦN THU LINH","Bình Dương",4059309,"khách mới"
48,"  Nguyễn Hoài Linh ","Hà Nội",2740086,"mua nhiều lần"
49,"lê hoài linh","Bình Dương",6779189,"giao hàng nhanh"
50,"  ngô quốc linh ","Đà Nẵng",414844,"khách quen"
51,"Đặng Thanh Yến   ","Quảng Ninh",2721683,"ưu đãi cuối năm"
52," ĐẶNG THỊ TUẤN","Bình Dương",29368328,"khách mới"
53," Bùi Anh Linh","Hồ Chí Minh",3216970,"ưu đãi cuối năm"
54," dương hoài vy   ","Nghệ An",2555050,""
55,"   Trần Thanh Mai   ","Hà Nội",46916358,""
56,"TRẦN ngọc lan   ","Huế",2274492,""
57,"DƯƠNG THANH BÌNH ","Đà Nẵng",5007372,"giao hàng nhanh"
58,"  Đỗ Văn Tuấn","Khánh Hòa",29586497,"giao hàng nhanh"
59,"ĐẶNG  THANH SƠN","Huế",1840394,"giao hàng nhanh"
60,"   Nguyễn Hữu Linh  ","Quảng Ninh",26025968,"đại lý cấp 1"
61,"   phạm quốc bình","Đà Nẵng",255271,"cần chăm sóc"
62,"Trần Thanh Dũng  ","Hồ Chí Minh",8451224,"cần chăm sóc"
63,"dương đức nam","Hải Phòng",5410709,"khách mới"
64," Đặng Thị Dũng  ","Quảng Ninh",1828270,"mua nhiều lần"
65,"  Lê Minh Cường","Bình Dương",9749751,"giao hàng nhanh"
66,"dương đức hải  ","Bình Dương",1713520,"khách mới"
67,"phạm quốc VY","Hà Nội",8752903,""
68,"HOÀNG THU YẾN","Hà Nội",507535,"giao hàng nhanh"
69,"bùi VĂN VY ","Khánh Hòa",34552283,"giao hàng nhanh"
70,"lê hữu SƠN ","Khánh Hòa",6333729,"cần chăm sóc"
71,"trần quốc an","Hải Phòng",17270983,""
72,"nguyễn HOÀI TUẤN","Hà Nội",4172534,"khách quen"
73,"   hoàng thanh dũng","Đà Nẵng",9095155,"đại lý cấp 1"
74,"  Dương Thị Sơn","Khánh Hòa",1640714,"cần chăm sóc"
75," NGUYỄN QUỐC LAN","Hải Phòng",1498838,"mua nhiều lần"
76,"NGÔ THU CƯỜNG","Đà Nẵng",706865,"giao hàng nhanh"
77," LÊ THỊ AN ","Hồ Chí Minh",9255093,""
78,"bùi ngọc trang","Hà Nội",2798366,"khách quen"
79,"   bùi quốc phúc ","Huế",7599947,"đại lý cấp 1"
80,"   Ngô Đức Linh","Nghệ An",4803744,""
81,"  Phạm Quốc Long ","Hồ Chí Minh",3765248,"khách mới"
82," ĐẶNG THỊ MAI   ","Hà Nội",9048695,"giao hàng nhanh"
83," ngô hữu mai   ","Hải Phòng",48527199,"đại lý cấp 1"
84,"  đỗ hoài yến","Đà Nẵng",125609,"mua nhiều lần"
85,"ngô gia nam  ","Huế",1407101,"khách mới"
86,"  nguyễn minh hải ","Hồ Chí Minh",1903188,"giao hàng nhanh"
87,"Dương Gia Vy ","Cần Thơ",675604,"giao hàng nhanh"
88,"Vũ Thị An","Nghệ An",14836904,"khách quen"
89,"đặng văn quân ","Quảng Ninh",21534213,""
90,"Lý Ngọc Cường  ","Hồ Chí Minh",805199,"khách mới"
91,"  đỗ đức hạnh ","Hồ Chí Minh",2849404,"mua nhiều lần"
92,"Dương Thanh Quân   ","Bình Dương",6933595,"giao hàng nhanh"
93,"  hoàng hoài bình ","Quảng Ninh",6881506,"khách quen"
94,"   bùi hoài hạnh","Hải Phòng",3328347,""
95,"BÙI  ĐỨC TRANG","Hồ Chí Minh",5807242,"cần chăm sóc"
96,"TRẦN đức nam ","Cần Thơ",1567254,"đại lý cấp 1"
97,"   lê hoài cường","Hồ Chí Minh",7415707,"đại lý cấp 1"
98,"đỗ  ngọc an ","Khánh Hòa",524215,"khách quen"
99,"DƯƠNG NGỌC YẾN","Nghệ An",3366518,"cần chăm sóc"
100," Dương Anh Hiếu  ","Bình Dương",2492512,""
